Company name,NSE Symbol,Market Cap,Categorization
CCL PRODUCTS (INDIA) LTD.,CCL,8495.15,Small Cap
CENTRAL DEPOSITORY SERVICES (INDIA) LTD.,CDSL,14978.15,Small Cap
"CEAT LTD.,",CEATLTD,9102.94,Small Cap
CELEBRITY FASHIONS LTD.,CELEBRITY,91.13,Small Cap
CELLO WORLD LIMITED,CELLO,16768.79,Small Cap
"CENTURY ENKA LTD.,",CENTENKA,936.95,Small Cap
"CENTURY EXTRUSIONS LTD.,",CENTEXT,119.53,Small Cap
CENTRAL BANK OF INDIA,CENTRALBK,35836.18, Mid Cap 
CENTRUM CAPITAL LIMITED,CENTRUM,1053.15,Small Cap
CENTUM ELECTRONICS LTD,CENTUM,1864.73,Small Cap
CENTURY PLYBOARDS (INDIA) LTD.,CENTURYPLY,14811.06,Small Cap
"CENTURY TEXTILES & INDUSTRIES LTD.,",CENTURYTEX,12270.65,Small Cap
CERA SANITARYWARE LTD.,CERA,10890.97,Small Cap
CEREBRA INTEGRATED TECHNOLOGIES LTD.,CEREBRAINT,71.32,Small Cap
"CESC LIMITED,",CESC,12010.79,Small Cap
CAPRI GLOBAL CAPITAL LIMITED,CGCL,15957.46,Small Cap
CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,CGPOWER,63876.31, Mid Cap 
CHALET HOTELS LIMITED,CHALET,11302.77,Small Cap
CHAMBAL FERTILISERS & CHEMICALS LTD,CHAMBLFERT,12187.96,Small Cap
CHEMBOND CHEMICALS LTD.,CHEMBOND,574.14,Small Cap
CHEMCON SPECIALITY CHEMICALS LIMITED,CHEMCON,1003.86,Small Cap
CHEMFAB ALKALIS LTD,CHEMFAB,510.2,Small Cap
CHEMPLAST SANMAR LIMITED,CHEMPLASTS,7403.01,Small Cap
CHENNAI PETROLEUM CORPORATION LTD.,CHENNPETRO,7716.47,Small Cap
CHEVIOT CO.LTD.,CHEVIOT,746.17,Small Cap
CHOICE INTERNATIONAL LTD,CHOICEIN,3992.38,Small Cap
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD,CHOLAFIN,95051.23, Large Cap 
CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,CHOLAHLDNG,19436.79,Small Cap
CIE AUTOMOTIVE INDIA LIMITED,CIEINDIA,18562.86,Small Cap
CIGNITI TECHNOLOGIES LTD,CIGNITITEC,2502.22,Small Cap
CINELINE INDIA LIMITED,CINELINE,352.92,Small Cap
CINEVISTA LIMITED,CINEVISTA,91.96,Small Cap
"CIPLA LTD.,",CIPLA,95828.76, Large Cap 
CLEAN SCIENCE AND TECHNOLOGY LIMITED,CLEAN,14776.23,Small Cap
CL EDUCATE LIMITED,CLEDUCATE,430.96,Small Cap
CHAMAN LAL SETIA EXPORTS LTD.,CLSEL,1090.7,Small Cap
CMI LIMITED,CMICABLES,10.58,Small Cap
CMS INFO SYSTEMS LIMITED,CMSINFO,5816.22,Small Cap
COAL INDIA LIMITED,COALINDIA,177202.05, Large Cap 
COASTAL CORPORATION LIMITED,COASTCORP,306.87,Small Cap
