,SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
2374,TRITURBINE,EQ,437.5,438.5,421.65,430.15,430.85,665159,2846.88,26812,320452,48.18,01-Dec-2023
2375,TRIVENI,EQ,387.3,393.9,386.0,387.5,387.3,664623,2592.23,15867,221313,33.30,01-Dec-2023
2376,TRU,EQ,69.85,71.0,69.55,70.55,69.55,2150154,1513.56,3179,594758,27.66,01-Dec-2023
2377,TTKHLTCARE,EQ,1367.55,1377.0,1351.15,1357.25,1367.55,6821,93.21,1941,3515,51.53,01-Dec-2023
2378,TTKPRESTIG,EQ,776.75,777.95,767.0,770.1,771.3,39016,300.79,4776,23410,60.00,01-Dec-2023
2379,TTL,EQ,98.0,98.0,95.1,95.35,96.05,12345,11.88,358,7748,62.76,01-Dec-2023
2380,TTML,EQ,97.0,97.1,92.3,94.1,95.2,8845546,8371.54,31541,2415558,27.31,01-Dec-2023
2381,TV18BRDCST,EQ,43.4,48.5,43.3,48.0,43.1,116332265,54949.08,150433,29027370,24.95,01-Dec-2023
2382,TVSELECT,EQ,344.25,347.2,339.1,340.25,343.05,75599,258.95,4774,36035,47.67,01-Dec-2023
2383,TVSHLTD,EQ,6100.0,6169.4,5938.9,5996.65,6047.1,9740,594.19,2759,5465,56.11,01-Dec-2023
2384,TVSHLTD,P1,10.4,10.5,10.4,10.4,10.4,63678,6.63,40,63477,99.68,01-Dec-2023
2385,TVSMOTOR,EQ,1883.0,1924.0,1867.7,1909.8,1864.5,1269657,24177.99,48764,479476,37.76,01-Dec-2023
2386,TVSSCS,EQ,209.6,210.0,205.9,206.3,207.85,950073,1974.05,16823,553657,58.28,01-Dec-2023
2387,TVSSRICHAK,EQ,4893.75,4893.75,4515.15,4552.35,4821.4,38073,1775.68,7073,21267,55.86,01-Dec-2023
2388,TVTODAY,EQ,205.8,214.0,204.7,208.9,204.3,380022,798.93,11985,155503,40.92,01-Dec-2023
2389,TVVISION,BE,4.35,4.35,4.35,4.35,4.4,2224,0.1,9,-,-,01-Dec-2023
2390,UBL,EQ,1650.0,1679.9,1643.15,1672.0,1646.8,198248,3299.51,13862,81072,40.89,01-Dec-2023
2391,UCAL,EQ,145.4,149.5,144.1,148.4,142.4,83865,124.32,1399,59701,71.19,01-Dec-2023
